,Trial,Stimulus 1 Value,Stimulus 1 Std,Stimulus 2 Value,Stimulus 2 Std,Comparison Result
183,19.0,2.0,0.5,-1.8999999999999984,0.1,True
184,19.0,2.0,0.5,-1.8999999999999984,0.1,True
185,19.0,2.0,0.5,-1.8999999999999984,0.1,True
186,19.0,2.0,0.5,-1.8999999999999984,0.1,True
187,19.0,2.0,0.5,-1.8999999999999984,0.1,True
188,19.0,2.0,0.5,-1.8999999999999984,0.1,True
189,19.0,2.0,0.5,-1.8999999999999984,0.1,True
190,20.0,2.0,0.5,-1.7999999999999985,0.1,True
191,20.0,2.0,0.5,-1.7999999999999985,0.1,True
192,20.0,2.0,0.5,-1.7999999999999985,0.1,True
193,20.0,2.0,0.5,-1.7999999999999985,0.1,True
194,20.0,2.0,0.5,-1.7999999999999985,0.1,True
195,20.0,2.0,0.5,-1.7999999999999985,0.1,True
196,20.0,2.0,0.5,-1.7999999999999985,0.1,True
197,20.0,2.0,0.5,-1.7999999999999985,0.1,True
198,20.0,2.0,0.5,-1.7999999999999985,0.1,True
199,20.0,2.0,0.5,-1.7999999999999985,0.1,True
200,21.0,2.0,0.5,-1.6999999999999984,0.1,True
201,21.0,2.0,0.5,-1.6999999999999984,0.1,True
202,21.0,2.0,0.5,-1.6999999999999984,0.1,True
203,21.0,2.0,0.5,-1.6999999999999984,0.1,True
204,21.0,2.0,0.5,-1.6999999999999984,0.1,True
205,21.0,2.0,0.5,-1.6999999999999984,0.1,True
206,21.0,2.0,0.5,-1.6999999999999984,0.1,True
207,21.0,2.0,0.5,-1.6999999999999984,0.1,True
208,21.0,2.0,0.5,-1.6999999999999984,0.1,True
209,21.0,2.0,0.5,-1.6999999999999984,0.1,True
210,22.0,2.0,0.5,-1.5999999999999983,0.1,True
211,22.0,2.0,0.5,-1.5999999999999983,0.1,True
212,22.0,2.0,0.5,-1.5999999999999983,0.1,True
213,22.0,2.0,0.5,-1.5999999999999983,0.1,True
214,22.0,2.0,0.5,-1.5999999999999983,0.1,True
215,22.0,2.0,0.5,-1.5999999999999983,0.1,True
216,22.0,2.0,0.5,-1.5999999999999983,0.1,True
217,22.0,2.0,0.5,-1.5999999999999983,0.1,True
218,22.0,2.0,0.5,-1.5999999999999983,0.1,True
219,22.0,2.0,0.5,-1.5999999999999983,0.1,True
220,23.0,2.0,0.5,-1.4999999999999982,0.1,True
221,23.0,2.0,0.5,-1.4999999999999982,0.1,True
222,23.0,2.0,0.5,-1.4999999999999982,0.1,True
223,23.0,2.0,0.5,-1.4999999999999982,0.1,True
224,23.0,2.0,0.5,-1.4999999999999982,0.1,True
225,23.0,2.0,0.5,-1.4999999999999982,0.1,True
226,23.0,2.0,0.5,-1.4999999999999982,0.1,True
227,23.0,2.0,0.5,-1.4999999999999982,0.1,True
228,23.0,2.0,0.5,-1.4999999999999982,0.1,True
229,23.0,2.0,0.5,-1.4999999999999982,0.1,True
230,24.0,2.0,0.5,-1.399999999999998,0.1,True
231,24.0,2.0,0.5,-1.399999999999998,0.1,True
232,24.0,2.0,0.5,-1.399999999999998,0.1,True
233,24.0,2.0,0.5,-1.399999999999998,0.1,True
234,24.0,2.0,0.5,-1.399999999999998,0.1,True
235,24.0,2.0,0.5,-1.399999999999998,0.1,True
236,24.0,2.0,0.5,-1.399999999999998,0.1,True
237,24.0,2.0,0.5,-1.399999999999998,0.1,True
238,24.0,2.0,0.5,-1.399999999999998,0.1,True
239,24.0,2.0,0.5,-1.399999999999998,0.1,True
240,25.0,2.0,0.5,-1.299999999999998,0.1,True
241,25.0,2.0,0.5,-1.299999999999998,0.1,True
242,25.0,2.0,0.5,-1.299999999999998,0.1,True
243,25.0,2.0,0.5,-1.299999999999998,0.1,True
244,25.0,2.0,0.5,-1.299999999999998,0.1,True
245,25.0,2.0,0.5,-1.299999999999998,0.1,True
246,25.0,2.0,0.5,-1.299999999999998,0.1,True
247,25.0,2.0,0.5,-1.299999999999998,0.1,True
248,25.0,2.0,0.5,-1.299999999999998,0.1,True
249,25.0,2.0,0.5,-1.299999999999998,0.1,True
250,26.0,2.0,0.5,-1.199999999999998,0.1,True
